country,region,year,age_distribution_00_04,age_distribution_05_14,age_distribution_15_34,age_distribution_34_64,age_distribution_65_plus
Afghanistan,,2020,0.1457,0.2725,0.3633,0.192,0.0265
Albania,,2020,0.0578,0.1146,0.3114,0.3692,0.147
Algeria,,2020,0.115,0.1929,0.3013,0.3234,0.0674
Andorra,,2020,0.04,0.113,0.318,0.432,0.143
Angola,,2020,0.1763,0.2876,0.331,0.1831,0.0219
Argentina,,2020,0.0827,0.1617,0.3066,0.3354,0.1137
Aruba,,2020,0.0569,0.1169,0.2586,0.4215,0.146
Australia,,2020,0.0655,0.1274,0.2655,0.3794,0.1621
Austria,,2020,0.0498,0.0944,0.243,0.4209,0.192
Azerbaijan,,2020,0.0814,0.1537,0.3144,0.3831,0.0674
Bahamas,,2020,0.0688,0.1472,0.3232,0.3833,0.0775
Bahrain,,2020,0.0635,0.1193,0.4049,0.3857,0.0265
Bangladesh,,2020,0.087,0.1805,0.3589,0.3212,0.0523
Barbados,,2020,0.0526,0.115,0.2597,0.4056,0.167
Belarus,,2020,0.058,0.1144,0.2472,0.4246,0.1558
Belgium,,2020,0.0547,0.1157,0.2393,0.3978,0.1925
Belize,,2020,0.0992,0.1928,0.3716,0.2863,0.0501
Benin,,2020,0.1574,0.262,0.3414,0.2064,0.0328
Bermuda,,2020,0.0526,0.115,0.2597,0.4056,0.167
Bhutan,,2020,0.0828,0.1662,0.3872,0.3018,0.062
Bolivia,,2020,0.102,0.2005,0.3467,0.2764,0.0749
Bosnia and Herzegovina,,2020,0.0406,0.1046,0.2392,0.4364,0.1792
Botswana,,2020,0.1156,0.2185,0.3467,0.2742,0.0451
Brazil,,2020,0.0681,0.139,0.3174,0.3796,0.0959
Brunei,,2020,0.072,0.1508,0.3237,0.3974,0.0557
Bulgaria,,2020,0.045,0.1018,0.2139,0.4247,0.2147
Burkina Faso,,2020,0.1661,0.2776,0.3413,0.1908,0.0241
Burundi,,2020,0.1727,0.2798,0.3466,0.1771,0.0238
Cambodia,,2020,0.1064,0.2028,0.3481,0.2942,0.0485
Cameroon,,2020,0.155,0.2656,0.3492,0.203,0.0272
Canada,,2020,0.0528,0.1049,0.2573,0.4039,0.181
Cape Verde,,2020,0.094,0.1874,0.3584,0.3129,0.0479
Central African Republic,,2020,0.1529,0.2826,0.355,0.1816,0.028
Chad,,2020,0.1784,0.2865,0.3425,0.1676,0.025
Chile,,2020,0.0608,0.1316,0.3027,0.3825,0.1224
China,,2020,0.0583,0.1188,0.2753,0.4279,0.1197
Colombia,,2020,0.0729,0.1489,0.3371,0.3505,0.0906
Comoros,,2020,0.142,0.2482,0.3497,0.229,0.0311
Congo,,2020,0.149,0.2637,0.3264,0.2333,0.0276
Costa Rica,,2020,0.0683,0.14,0.3177,0.3715,0.1025
Cote d'Ivoire,,2020,0.157,0.2585,0.3529,0.2032,0.0288
Croatia,,2020,0.0449,0.1006,0.2257,0.4163,0.2125
Cuba,,2020,0.0504,0.1088,0.2556,0.4263,0.1589
Cyprus,,2020,0.0537,0.1121,0.3,0.3902,0.1441
Czech Republic,,2020,0.053,0.1054,0.2157,0.4253,0.2014
Democratic Republic of Congo,,2020,0.176,0.2812,0.3236,0.1883,0.0302
Denmark,,2020,0.0533,0.1095,0.2538,0.3818,0.2016
Djibouti,,2020,0.1004,0.1888,0.3587,0.3051,0.0471
Dominica,,2020,0.093,0.1819,0.3354,0.3149,0.0753
Dominican Republic,,2020,0.0924,0.1819,0.3354,0.3149,0.0753
Ecuador,,2020,0.0945,0.1794,0.3378,0.3123,0.0759
Egypt,,2020,0.1241,0.2151,0.3252,0.2823,0.0533
El Salvador,,2020,0.0888,0.1771,0.3512,0.2964,0.0865
Eritrea,,2020,0.1396,0.2717,0.3427,0.201,0.0451
Estonia,,2020,0.0521,0.1128,0.2333,0.398,0.2037
Eswatini,,2020,0.1238,0.2506,0.3661,0.2194,0.0401
Ethiopia,,2020,0.1461,0.2531,0.3648,0.2007,0.0354
Faeroe Islands,,2020,0.07,0.13,0.28,0.35,0.17
Fiji,,2020,0.0997,0.1904,0.3168,0.3349,0.0582
Finland,,2020,0.0477,0.111,0.2375,0.3783,0.2255
France,,2020,0.0555,0.1211,0.2329,0.3831,0.2075
Gabon,,2020,0.1439,0.2287,0.3368,0.2553,0.0353
Gambia,,2020,0.1695,0.2701,0.3503,0.1849,0.0253
Georgia,,2020,0.0673,0.1349,0.2527,0.3926,0.1525
Germany,,2020,0.0484,0.0911,0.226,0.4175,0.2169
Ghana,,2020,0.1342,0.2371,0.3476,0.2497,0.0314
Greece,,2020,0.0393,0.0973,0.2093,0.4313,0.2228
Greenland,,2020,0.0721,0.1427,0.2998,0.4109,0.0745
Guam,,2020,0.0803,0.1583,0.3118,0.3443,0.1054
Guatemala,,2020,0.1153,0.2181,0.3747,0.2415,0.0504
Guinea,,2020,0.1599,0.2706,0.3583,0.1817,0.0295
Guyana,,2020,0.0939,0.1834,0.3359,0.3168,0.07
Haiti,,2020,0.1108,0.214,0.3591,0.2644,0.0517
Honduras,,2020,0.1027,0.2032,0.3766,0.2678,0.0497
Hong Kong,,2020,0.049,0.0784,0.2229,0.4684,0.182
Hungary,,2020,0.0477,0.0964,0.2329,0.4214,0.2016
