country_code,region_name
AF,
AL,
DZ,
AD,
AO,
AR,
AW,
AU,
AT,
AZ,
BS,
BH,
BD,
BB,
BY,
BE,
BZ,
BJ,
BM,
BT,
BO,
BA,
BW,
BR,
BN,
BG,
BF,
BI,
KH,
CM,
CA,
CV,
CF,
TD,
CL,
CN,
CO,
KM,
CG,
CR,
CI,
HR,
CU,
CY,
CZ,
CD,
DK,
DJ,
DM,
DO,
EC,
EG,
SV,
ER,
EE,
SZ,
ET,
FO,
FJ,
FI,
FR,
GA,
GM,
GE,
DE,
GH,
GR,
GL,
GU,
GT,
GN,
GY,
HT,
HN,
HK,
HU,
IS,
IN,
ID,
IR,
IQ,
IE,
IL,
IT,
JM,
JP,
JO,
KZ,
KE,
XK,
KW,
KG,
LA,
LV,
LB,
LS,
LR,
LY,
LT,
LU,
MO,
MG,
MW,
MY,
ML,
MR,
MU,
MX,
MD,
MC,
MN,
MA,
MZ,
MM,
NA,
NP,
NL,
NZ,
NI,
NE,
NG,
NO,
OM,
PK,
PS,
PA,
PG,
PY,
PE,
PH,
PL,
PR,
PT,
QA,
RO,
RU,
RW,
SM,
SA,
SN,
RS,
SC,
SL,
SG,
SK,
SI,
SB,
SO,
ZA,
KR,
SS,
ES,
LK,
SD,
SR,
SW,
CH,
SY,
TW,
TJ,
TZ,
TH,
TL,
TG,
TT,
TN,
TR,
UG,
UA,
AE,
GB,
GB,England
GB,Northern Ireland
GB,Scotland
GB,Wales
US,
US,Alabama
US,Alaska
US,Arizona
US,Arkansas
US,California
US,Colorado
US,Connecticut
US,Delaware
US,Florida
US,Georgia
US,Hawaii
US,Idaho
US,Illinois
US,Indiana
US,Iowa
US,Kansas
US,Kentucky
US,Louisiana
US,Maine
US,Maryland
US,Massachusetts
US,Michigan
US,Minnesota
US,Mississippi
US,Missouri
US,Montana
US,Nebraska
US,Nevada
US,New Hampshire
US,New Jersey
US,New Mexico
US,New York
US,North Carolina
US,North Dakota
US,Ohio
US,Oklahoma
US,Oregon
US,Pennsylvania
US,Rhode Island
US,South Carolina
US,South Dakota
US,Tennessee
US,Texas
US,Utah
US,Vermont
US,Virgin Islands
US,Virginia
US,Washington
US,Washington DC
US,West Virginia
US,Wisconsin
US,Wyoming
UY,
UZ,
VU,
VE,
VN,
YE,
ZM,
ZW,
