country_code,date,working_day
AF,2019-01-01,1
AF,2019-01-02,1
AF,2019-01-03,1
AF,2019-01-04,1
AF,2019-01-05,1
AF,2019-01-06,1
AF,2019-01-07,1
AF,2019-01-08,1
AF,2019-01-09,1
AF,2019-01-10,1
AF,2019-01-11,1
AF,2019-01-12,1
AF,2019-01-13,1
AF,2019-01-14,1
AF,2019-01-15,1
AF,2019-01-16,1
AF,2019-01-17,1
AF,2019-01-18,1
AF,2019-01-19,1
AF,2019-01-20,1
AF,2019-01-21,1
AF,2019-01-22,1
AF,2019-01-23,1
AF,2019-01-24,1
AF,2019-01-25,1
AF,2019-01-26,1
AF,2019-01-27,1
AF,2019-01-28,1
AF,2019-01-29,1
AF,2019-01-30,1
AF,2019-01-31,1
AF,2019-02-01,1
AF,2019-02-02,1
AF,2019-02-03,1
AF,2019-02-04,1
AF,2019-02-05,1
AF,2019-02-06,1
AF,2019-02-07,1
AF,2019-02-08,1
AF,2019-02-09,1
AF,2019-02-10,1
AF,2019-02-11,1
AF,2019-02-12,1
AF,2019-02-13,1
AF,2019-02-14,1
AF,2019-02-15,1
AF,2019-02-16,1
AF,2019-02-17,1
AF,2019-02-18,1
AF,2019-02-19,1
AF,2019-02-20,1
AF,2019-02-21,1
AF,2019-02-22,1
AF,2019-02-23,1
AF,2019-02-24,1
AF,2019-02-25,1
AF,2019-02-26,1
AF,2019-02-27,1
AF,2019-02-28,1
AF,2019-03-01,1
AF,2019-03-02,1
AF,2019-03-03,1
AF,2019-03-04,1
AF,2019-03-05,1
AF,2019-03-06,1
AF,2019-03-07,1
AF,2019-03-08,1
AF,2019-03-09,1
AF,2019-03-10,1
AF,2019-03-11,1
AF,2019-03-12,1
AF,2019-03-13,1
AF,2019-03-14,1
AF,2019-03-15,1
AF,2019-03-16,1
AF,2019-03-17,1
AF,2019-03-18,1
AF,2019-03-19,1
AF,2019-03-20,1
AF,2019-03-21,1
AF,2019-03-22,1
AF,2019-03-23,1
AF,2019-03-24,1
AF,2019-03-25,1
AF,2019-03-26,1
AF,2019-03-27,1
AF,2019-03-28,1
AF,2019-03-29,1
AF,2019-03-30,1
AF,2019-03-31,1
AF,2019-04-01,1
AF,2019-04-02,1
AF,2019-04-03,1
AF,2019-04-04,1
AF,2019-04-05,1
AF,2019-04-06,1
AF,2019-04-07,1
AF,2019-04-08,1
AF,2019-04-09,1
AF,2019-04-10,1
AF,2019-04-11,1
AF,2019-04-12,1
AF,2019-04-13,1
AF,2019-04-14,1
AF,2019-04-15,1
AF,2019-04-16,1
AF,2019-04-17,1
AF,2019-04-18,1
AF,2019-04-19,1
AF,2019-04-20,1
AF,2019-04-21,1
AF,2019-04-22,1
AF,2019-04-23,1
AF,2019-04-24,1
