country_name,region_name,year,population,population_density,population_percent_urban,gdp_per_capita,obesity_rate,pneumonia_deaths_per_100k
Afghanistan,,2020,38928346,56.93776001,25.495,520.8966027,5.5,69.13071516
Albania,,2020,2877797,104.6122628,60.319,5268.848504,21.7,12.1525875
Algeria,,2020,43851044,17.73007507,72.629,4114.715061,27.4,15.52482374
Andorra,,2020,77265,163.8425532,88.062,42029.76274,25.6,18.12108169
Angola,,2020,32866272,26,66.18,3432,8.2,92.2164421
Argentina,,2020,45195774,16.2585101,91.87,11683.94962,28.3,56.33369413
Aruba,,2020,106766,593,43.6,25600,,
Australia,,2020,25499884,3.249129487,86.012,57373.68668,29,9.071138937
Austria,,2020,9006398,107.2069267,58.297,51461.95478,20.1,4.587225585
Azerbaijan,,2020,10127874,123,56.03,4700,,15.29
Bahamas,,2020,385637,39,83.13,32300,,22.73
Bahrain,,2020,1701575,2017.2737,89.287,24050.75751,29.8,18.80903443
Bangladesh,,2020,164689383,1239.579312,36.632,1698.262802,3.6,32.49877942
Barbados,,2020,287375,666.6069767,31.147,17949.28151,23.1,38.73698576
Belarus,,2020,9408400,47,79.04,6300,,6.41
Belgium,,2020,11589623,377.2149273,98.001,47518.63604,22.1,19.68641753
Belize,,2020,397628,16.79399386,45.724,4884.742421,24.1,42.90143577
Benin,,2020,11733059,105,47.86,902,,142.4
Bermuda,,2020,62278,1184.592572,100,85748.06541,,13.13177427
Bhutan,,2020,754388,20,41.61,3360,,36.94
Bolivia,,2020,11673021,10.48014585,69.425,3548.59014,20.2,65.03915155
Bosnia and Herzegovina,,2020,3280819,64.92048828,48.245,6065.672708,17.9,7.179361467
Botswana,,2020,2351627,3.977424876,69.446,8258.641666,18.9,58.98480094
Brazil,,2020,212559417,25.06171624,86.569,8920.762105,22.1,40.05188178
Brunei,,2020,437479,81.39696395,77.629,31628.32879,14.1,39.96329111
Bulgaria,,2020,6948445,64,75.35,9270,25,12.95434144
Burkina Faso,,2020,20903273,76,29.98,715,5.6,126.8998112
Burundi,,2020,11890784,463,13.37,272,5.4,121.5234286
Cambodia,,2020,15288489,95,23.8,1510,,
Cameroon,,2020,26545863,53.34398891,56.374,1533.74214,11.4,116.0201175
Canada,,2020,37742154,4.075308214,81.411,46232.98962,29.4,11.57868045
Cape Verde,,2020,543767,138,62.6,3635,,
Central African Republic,,2020,4666368,8,41.77,476,,122.71
Chad,,2020,16425864,12.29173364,23.059,728.3432354,6.1,148.4437073
Chile,,2020,19116201,25.18944607,87.564,15923.35874,28,19.76227628
China,,2020,1439323776,148.3488333,59.152,9770.847088,6.2,12.96889687
Colombia,,2020,50882891,44.74870212,80.778,6667.7907,22.3,15.09932772
Comoros,,2020,850688,467,29.16,1415.26,,119.97
Congo,,2020,5244359,37,80,561.78,,75
Costa Rica,,2020,5094118,97.91306306,79.34,12027.36588,25.7,10.604963
Cote d'Ivoire,,2020,26378274,83,50.1,1715.53,,184.23
Croatia,,2020,4105267,73.077198,56.947,14909.69319,24.4,6.427023522
Cuba,,2020,11326616,108.9995962,77.037,8821.818891,24.6,29.07299006
Cyprus,,2020,1189265,131,66.81,28159.3,,6
Czech Republic,,2020,10708981,137.6028879,73.792,23078.57349,26,15.66182801
Democratic Republic of Congo,,2020,89561403,37.08259236,44.46,561.7771824,6.7,111.6227305
Denmark,,2020,5792202,138.0673017,87.874,61350.34791,19.7,18.23111893
Djibouti,,2020,988000,41.36842105,77.777,3082.543099,13.5,79.51501977
Dominica,,2020,71986,96,74.1,7691.35,,
Dominican Republic,,2020,10847910,219.9785759,81.074,8050.631602,27.6,25.29051513
Ecuador,,2020,17643054,68.78868175,63.821,6344.871979,19.9,36.41377435
Egypt,,2020,102334404,98.87346929,42.704,2549.132252,32,33.5519322
El Salvador,,2020,6486205,309.8814672,72.023,4058.252439,24.6,43.20066203
Eritrea,,2020,6081196,35,40.71,811.38,,
Estonia,,2020,1326535,30.38610536,68.88,23266.34627,21.2,9.192635012
Eswatini,,2020,1160164,66.05761628,23.799,4145.974112,16.5,97.87967456
Ethiopia,,2020,109224414,109.22,21.22,772.31,,86.94
Faeroe Islands,,2020,52110,34.5,42.23,55823,,
Fiji,,2020,926276,49,56.75,6267,,33.71
Finland,,2020,5540720,18.15685565,85.382,50152.34014,22.2,5.057654295
France,,2020,65273511,122.3383957,80.444,41463.64402,21.6,10.98052703
Gabon,,2020,2119275,9,89.74,7953,,74
Gambia,,2020,2416668,225.3065217,61.27,716.118489,10.3,112.0379285
Georgia,,2020,3716858,183,59.04,4717.14,,9.43
Germany,,2020,83783942,237.3709698,77.312,47603.02763,22.3,11.42272633
Ghana,,2020,31072940,130.8214292,56.06,2202.312164,10.9,114.9090784
Greece,,2020,10423054,83.22473235,79.058,20324.25356,24.9,14.40514319
Greenland,,2020,56081,0.15,87.05,48182,,
Guam,,2020,168775,306.9777778,94.78,35712.56214,,31.30552592
Guatemala,,2020,17915568,160.9537794,51.054,4549.010081,21.2,81.44076798
Guinea,,2020,12414293,53,13.25,878.6,,169
Guyana,,2020,786552,3.957348235,26.606,4979.002188,20.2,45.84605489
Haiti,,2020,11439646,414,56.19,868.34,,71.58
Honduras,,2020,9904607,85.68703191,57.096,2500.113213,21.4,15.89088323
Hong Kong,,2020,7496981,7096.190476,100,48675.61646,,
Hungary,,2020,9660351,107.9066055,71.351,16161.98051,26.4,5.650862974
Iceland,,2020,341243,3.526922693,93.813,73191.11632,21.9,14.79814866
India,,2020,1380004385,454.9380726,34.03,2009.978857,3.9,52.49725845
Indonesia,,2020,273523615,147.7521901,55.325,3893.596078,6.9,26.57089914
Iran,,2020,83992949,50.22242012,74.898,5627.749268,25.8,15.39041239
Iraq,,2020,40222493,88.53057004,70.473,5834.166211,30.4,10.38641099
Ireland,,2020,4937786,70.45298302,63.17,78806.432,25.3,17.5937044
Israel,,2020,8655535,410.5268022,92.418,41715.02928,26.1,17.84839215
Italy,,2020,60461826,205.4507479,70.438,34483.204,19.9,7.11485387
Jamaica,,2020,2726667,273,55.98,5355,,14.23
Japan,,2020,126476461,347.0734584,91.616,39289.95843,4.3,22.15590461
Jordan,,2020,10203134,112.1424983,90.979,4241.788782,35.5,18.11428306
Kazakhstan,,2020,18776707,6.769825907,57.428,9812.601137,21,21.92918198
Kenya,,2020,53771296,90.29941666,27.03,1710.510097,7.1,93.61514343
Kosovo,,2020,1845000,165,54.7,4420,,
Kuwait,,2020,4270571,232.1722222,100,33994.40657,37.9,28.69543854
Kyrgyz Republic,,2020,6316000,32.92909281,36.351,1281.363661,16.6,14.24027696
Laos,,2020,7275560,30.59578423,35.004,2542.486528,5.3,69.69277779
Latvia,,2020,1907675,30,68.22,17861,,11.68
Lebanon,,2020,6825445,669.4941349,88.593,8269.787676,32,13.90359598
